from_region,to_region,v1_status,v4_status,v4_normal_fare,v4_priority_fare,v4_promoted,v4_source_name,v4_source_date,v4_source_url,v4_confidence,normal_path,priority_path,providers,jne2026_values
진도,장성,TRANSFER_TRUSTED,TRANSFER_TRUSTED,17700,22300,False,,,,,"[""진도"", ""광주"", ""장성""]","[""진도"", ""광주"", ""장성""]","[""tmoney""]",[17700]
진도,완도,TRANSFER_TRUSTED,TRANSFER_TRUSTED,14000,15500,False,,,,,"[""진도"", ""해남"", ""완도""]","[""진도"", ""해남"", ""완도""]","[""tmoney""]",[14000]
진도,남악,DIRECT_PROVIDER,DIRECT_PROVIDER,7800,10100,False,,,,,"[""진도"", ""남악""]","[""진도"", ""남악""]","[""tmoney""]",[10100]
남악,광주,DIRECT_PROVIDER,DIRECT_PROVIDER,7200,9300,False,,,,,"[""남악"", ""광주""]","[""남악"", ""광주""]","[""tmoney""]","[7200, 9300]"
남악,목포,DIRECT_PROVIDER,DIRECT_PROVIDER,1700,1700,False,,,,,"[""남악"", ""목포""]","[""남악"", ""목포""]","[""tmoney""]",[1700]
남악,여수,DIRECT_PROVIDER,DIRECT_PROVIDER,15600,20200,False,,,,,"[""남악"", ""여수""]","[""남악"", ""여수""]","[""tmoney""]","[15600, 20200]"
남악,순천,DIRECT_PROVIDER,DIRECT_PROVIDER,10600,13800,False,,,,,"[""남악"", ""순천""]","[""남악"", ""순천""]","[""tmoney""]","[10600, 13800]"
남악,나주,TRANSFER_TRUSTED,DIRECT_SOURCE_VERIFIED,8200,8200,True,아사마루 남악→나주 시외버스 시간표,2026-09-22,https://transportation.asamaru.net/시외버스/시간표/남악정류소/출발/나주버스터미널/도착/,HIGH_SOURCE_EXPLICIT,"[""남악"", ""무안"", ""나주""]","[""남악"", ""무안"", ""나주""]","[""tmoney""]",[9000]
남악,광양,DIRECT_PROVIDER,DIRECT_PROVIDER,16700,16700,False,,,,,"[""남악"", ""광양""]","[""남악"", ""광양""]","[""tmoney""]",[11700]
남악,담양,TRANSFER_TRUSTED,TRANSFER_TRUSTED,10100,12200,False,,,,,"[""남악"", ""광주"", ""담양""]","[""남악"", ""광주"", ""담양""]","[""bustago"", ""tmoney""]",[10100]
남악,곡성,TRANSFER_TRUSTED,TRANSFER_TRUSTED,12700,14800,False,,,,,"[""남악"", ""광주"", ""곡성""]","[""남악"", ""광주"", ""곡성""]","[""tmoney""]",[12700]
남악,구례,TRANSFER_TRUSTED,TRANSFER_TRUSTED,15800,19000,False,,,,,"[""남악"", ""순천"", ""구례""]","[""남악"", ""순천"", ""구례""]","[""tmoney""]",[19000]
남악,고흥,TRANSFER_TRUSTED,TRANSFER_TRUSTED,19300,25000,False,,,,,"[""남악"", ""순천"", ""고흥""]","[""남악"", ""목포"", ""고흥""]","[""bustago"", ""tmoney""]",[23400]
남악,보성,TRANSFER_TRUSTED,DIRECT_SOURCE_VERIFIED,13300,13300,True,BUSTIME 남악→보성,2026-07-12,https://bustime.co.kr/plans/intercity/namak/boseong/details.html,HIGH_SOURCE_EXPLICIT,"[""남악"", ""목포"", ""보성""]","[""남악"", ""목포"", ""보성""]","[""tmoney""]",[13500]
남악,화순,TRANSFER_TRUSTED,TRANSFER_TRUSTED,9700,12500,False,,,,,"[""남악"", ""광주"", ""화순""]","[""남악"", ""광주"", ""화순""]","[""tmoney""]",[9700]
남악,장흥,TRANSFER_TRUSTED,DIRECT_SOURCE_VERIFIED,10000,10000,True,아사마루 남악→장흥 시외버스 시간표,2026-06-24,https://transportation.asamaru.net/시외버스/시간표/남악정류소/출발/장흥시외버스터미널/도착/,HIGH_SOURCE_EXPLICIT,"[""남악"", ""목포"", ""장흥""]","[""남악"", ""목포"", ""장흥""]","[""bustago"", ""tmoney""]",[10000]
남악,강진,TRANSFER_TRUSTED,DIRECT_SOURCE_VERIFIED,7600,7600,True,아사마루 남악→강진 시외버스 시간표,2026-07-14,https://transportation.asamaru.net/시외버스/시간표/남악정류소/출발/강진버스여객터미널/도착/,HIGH_SOURCE_EXPLICIT,"[""남악"", ""목포"", ""강진""]","[""남악"", ""목포"", ""강진""]","[""bustago"", ""tmoney""]",[7600]
남악,해남,DIRECT_PROVIDER,DIRECT_PROVIDER,8500,8500,False,,,,,"[""남악"", ""해남""]","[""남악"", ""해남""]","[""tmoney""]",[8500]
남악,영암,TRANSFER_TRUSTED,TRANSFER_TRUSTED,8100,8100,False,,,,,"[""남악"", ""목포"", ""영암""]","[""남악"", ""목포"", ""영암""]","[""bustago"", ""tmoney""]",[3700]
남악,무안,DIRECT_PROVIDER,DIRECT_PROVIDER,3600,3600,False,,,,,"[""남악"", ""무안""]","[""남악"", ""무안""]","[""tmoney""]",[3700]
남악,함평,TRANSFER_TRUSTED,TRANSFER_TRUSTED,5500,6100,False,,,,,"[""남악"", ""무안"", ""함평""]","[""남악"", ""무안"", ""함평""]","[""tmoney""]",[6800]
남악,영광,TRANSFER_TRUSTED,TRANSFER_TRUSTED,9100,9100,False,,,,,"[""남악"", ""무안"", ""영광""]","[""남악"", ""무안"", ""영광""]","[""tmoney""]",[8700]
남악,장성,TRANSFER_TRUSTED,TRANSFER_TRUSTED,9600,11700,False,,,,,"[""남악"", ""광주"", ""장성""]","[""남악"", ""광주"", ""장성""]","[""tmoney""]",[9600]
남악,완도,DIRECT_PROVIDER,DIRECT_PROVIDER,15500,15500,False,,,,,"[""남악"", ""완도""]","[""남악"", ""완도""]","[""tmoney""]",[15500]
남악,진도,DIRECT_PROVIDER,DIRECT_PROVIDER,7800,10100,False,,,,,"[""남악"", ""진도""]","[""남악"", ""진도""]","[""tmoney""]",[10100]
